;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_AAC_title;Grant Aachen Independence;;;;;;;;;;;;x,,
gtfo_AAC_desc;We've had a good run, but it's time to end our rulership of Aachen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABB_title;Grant Dongola Independence;;;;;;;;;;;;x,,
gtfo_ABB_desc;We've had a good run, but it's time to end our rulership of Dongola: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADU_title;Grant Andalusia Independence;;;;;;;;;;;;x,,
gtfo_ADU_desc;We've had a good run, but it's time to end our rulership of Andalusia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AJU_title;Grant Ajuuraan Independence;;;;;;;;;;;;x,,
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Ajuuraan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKM_title;Grant Akamatsu Independence;;;;;;;;;;;;x,,
